StockCode,week,units,revenue,avg_price,n_invoices
10133,19/04/2010,10,7.2,0.72,1
10133,26/04/2010,14,11.9,0.85,2
10133,03/05/2010,6,9.96,1.66,1
10133,10/05/2010,60,51,0.85,4
10133,24/05/2010,20,15.7,0.785,2
10133,14/06/2010,10,8.5,0.85,1
10133,21/06/2010,20,17,0.85,1
10133,05/07/2010,20,17,0.85,1
10133,12/07/2010,42,35.7,0.85,4
10133,19/07/2010,10,8.5,0.85,1
10133,02/08/2010,14,11.9,0.85,2
10133,09/08/2010,20,17,0.85,1
10133,16/08/2010,27,22.95,0.85,3
10133,30/08/2010,4,3.4,0.85,1
10133,06/09/2010,15,14.37,0.958,3
10133,13/09/2010,2,3.32,1.66,1
10133,27/09/2010,32,27.2,0.85,3
10133,04/10/2010,50,42.5,0.85,2
10133,11/10/2010,17,14.45,0.85,3
10133,18/10/2010,4,3.4,0.85,1
10133,25/10/2010,31,26.35,0.85,4
10133,01/11/2010,27,23.76,0.88,4
10133,15/11/2010,36,30.6,0.85,4
10133,22/11/2010,5,5.87,1.174,3
10133,29/11/2010,25,22.06,0.8824,6
10133,06/12/2010,14,11.9,0.85,3
10134,30/11/2009,23,28.75,1.25,3
10134,07/12/2009,15,18.75,1.25,2
10134,14/12/2009,15,20.07,1.338,4
10134,04/01/2010,200,212,1.06,1
10134,18/01/2010,1,2.51,2.51,1
10134,25/01/2010,14,17.5,1.25,2
10134,15/02/2010,20,25,1.25,2
10134,22/02/2010,14,17.5,1.25,3
10134,01/03/2010,1,1.25,1.25,1
10134,08/03/2010,30,37.5,1.25,2
10134,15/03/2010,20,25,1.25,2
10134,22/03/2010,3,3.75,1.25,2
10134,29/03/2010,10,12.5,1.25,1
10134,12/04/2010,11,13.75,1.25,2
10134,19/04/2010,9,11.25,1.25,3
10134,10/05/2010,10,12.5,1.25,1
10134,07/06/2010,14,17.5,1.25,2
10134,28/06/2010,3,3.75,1.25,1
10134,12/07/2010,3,3.75,1.25,2
10134,26/07/2010,10,12.5,1.25,1
10134,02/08/2010,12,15,1.25,2
10134,09/08/2010,130,137.8,1.06,1
10134,06/09/2010,1,1.25,1.25,1
10134,13/09/2010,2,2.5,1.25,1
10134,04/10/2010,10,12.5,1.25,1
10134,11/10/2010,16,20,1.25,3
10134,18/10/2010,2,2.5,1.25,1
10134,01/11/2010,25,31.25,1.25,2
10134,08/11/2010,3,3.75,1.25,2
10135,30/11/2009,61,78.89,1.293278689,8
10135,07/12/2009,26,32.5,1.25,3
10135,14/12/2009,33,55.77,1.69,10
10135,21/12/2009,3,7.71,2.57,1
10135,04/01/2010,11,13.75,1.25,2
10135,11/01/2010,12,15,1.25,2
10135,18/01/2010,11,13.75,1.25,2
10135,25/01/2010,14,17.5,1.25,2
10135,01/02/2010,45,53.71,1.193555556,5
10135,08/02/2010,31,38.75,1.25,3
10135,15/02/2010,50,62.5,1.25,4
10135,22/02/2010,742,794.5,1.070754717,5
10135,01/03/2010,1,1.25,1.25,1
10135,08/03/2010,37,47.51,1.284054054,4
10135,15/03/2010,20,25,1.25,2
10135,22/03/2010,20,25,1.25,2
10135,29/03/2010,23,28.75,1.25,3
10135,05/04/2010,1,2.51,2.51,1
10135,12/04/2010,11,13.75,1.25,2
10135,19/04/2010,23,30.01,1.304782609,5
10135,26/04/2010,35,43.6,1.245714286,3
10135,10/05/2010,10,12.5,1.25,1
10135,17/05/2010,103,109.75,1.065533981,2
10135,24/05/2010,20,25,1.25,1
10135,07/06/2010,30,37.5,1.25,3
10135,14/06/2010,20,25,1.25,2
10135,21/06/2010,20,25,1.25,1
10135,28/06/2010,23,28.75,1.25,3
10135,12/07/2010,23,28.75,1.25,2
10135,26/07/2010,14,17.5,1.25,2
10135,09/08/2010,10,12.5,1.25,1
10135,16/08/2010,40,50,1.25,4
10135,23/08/2010,20,25,1.25,2
10135,30/08/2010,11,13.75,1.25,2
10135,06/09/2010,1,1.25,1.25,1
10135,13/09/2010,11,13.75,1.25,2
10135,20/09/2010,2,5.02,2.51,1
10135,27/09/2010,20,25,1.25,2
10135,04/10/2010,15,18.75,1.25,6
10135,11/10/2010,35,43.75,1.25,5
10135,18/10/2010,13,16.25,1.25,3
10135,25/10/2010,21,27.51,1.31,3
10135,01/11/2010,172,196,1.139534884,8
10135,08/11/2010,58,72.5,1.25,6
10135,15/11/2010,31,42.53,1.371935484,7
10135,22/11/2010,54,73.8,1.366666667,8
10135,29/11/2010,33,43.77,1.326363636,6
10135,06/12/2010,22,42.62,1.937272727,5
10138,30/11/2009,155,65.1,0.42,6
10138,07/12/2009,19,7.98,0.42,2
10138,14/12/2009,2,1.66,0.83,2
10138,11/01/2010,15,7.08,0.472,3
10138,01/02/2010,24,10.08,0.42,2
10138,15/02/2010,12,5.04,0.42,1
10138,22/03/2010,1,0.42,0.42,1
10138,29/03/2010,21,8.82,0.42,3
10138,19/04/2010,12,5.04,0.42,1
11001,30/11/2009,73,128.59,1.761506849,5
11001,07/12/2009,43,76.15,1.770930233,7
11001,14/12/2009,86,148.82,1.730465116,7
11001,04/01/2010,18,30.42,1.69,2
11001,18/01/2010,65,109.85,1.69,2
11001,08/02/2010,16,27.04,1.69,1
11001,15/02/2010,1,1.69,1.69,1
11001,01/03/2010,16,27.04,1.69,1
11001,08/03/2010,16,27.04,1.69,1
11001,15/03/2010,3,5.07,1.69,2
11001,22/03/2010,18,33.76,1.875555556,2
11001,12/04/2010,16,27.04,1.69,1
11001,19/04/2010,53,97.92,1.84754717,5
11001,26/04/2010,1,3.36,3.36,1
11001,03/05/2010,38,64.22,1.69,2
11001,10/05/2010,627,858.03,1.3684689,5
11001,17/05/2010,32,54.08,1.69,2
11001,24/05/2010,16,27.04,1.69,1
11001,31/05/2010,16,27.04,1.69,1
11001,07/06/2010,68,106.52,1.566470588,4
11001,14/06/2010,64,108.16,1.69,3
11001,21/06/2010,33,55.77,1.69,3
11001,28/06/2010,23,38.87,1.69,3
11001,05/07/2010,16,27.04,1.69,1
11001,26/07/2010,32,54.08,1.69,2
11001,02/08/2010,54,91.26,1.69,4
11001,09/08/2010,16,27.04,1.69,1
11001,16/08/2010,16,27.04,1.69,1
11001,23/08/2010,128,216.32,1.69,1
11001,30/08/2010,152,256.88,1.69,3
11001,06/09/2010,2,3.38,1.69,1
11001,13/09/2010,56,94.64,1.69,6
11001,20/09/2010,20,33.8,1.69,3
11001,27/09/2010,369,524.48,1.421355014,8
11001,04/10/2010,209,353.21,1.69,9
11001,11/10/2010,356,502.51,1.411544944,6
11001,18/10/2010,49,82.81,1.69,3
11001,25/10/2010,65,109.85,1.69,5
11001,01/11/2010,132,186.67,1.414166667,6
11001,08/11/2010,48,81.12,1.69,3
11001,15/11/2010,64,108.16,1.69,4
11001,22/11/2010,71,126.67,1.784084507,7
11001,29/11/2010,39,70.92,1.818461538,4
11001,06/12/2010,34,59.13,1.739117647,4
15030,07/12/2009,10,2.9,0.29,1
15030,11/01/2010,5,1.45,0.29,1
15030,25/01/2010,10,2.9,0.29,1
15030,08/03/2010,10,2.9,0.29,1
15030,12/04/2010,10,2.9,0.29,1
15030,07/06/2010,4,1.16,0.29,1
15030,14/06/2010,6,1.74,0.29,1
15030,28/06/2010,7,2.03,0.29,1
15030,12/07/2010,10,2.9,0.29,1
15030,26/07/2010,6,1.74,0.29,1
15030,02/08/2010,5,1.45,0.29,1
15030,13/09/2010,10,2.9,0.29,1
15030,20/09/2010,15,4.35,0.29,1
15030,25/10/2010,3,0.87,0.29,1
15034,30/11/2009,3,1.11,0.37,2
15034,07/12/2009,6,4.98,0.83,3
15034,14/12/2009,76,13.4,0.176315789,4
15034,04/01/2010,288,40.32,0.14,1
15034,11/01/2010,4,3.24,0.81,1
15034,18/01/2010,31,7.69,0.248064516,4
15034,08/02/2010,73,18.93,0.259315068,4
15034,15/02/2010,43,34.83,0.81,2
15034,22/02/2010,12,1.68,0.14,1
15034,01/03/2010,96,13.44,0.14,1
15034,08/03/2010,12,1.68,0.14,1
15034,15/03/2010,50,8.34,0.1668,2
15034,29/03/2010,48,6.72,0.14,2
15034,05/04/2010,37,5.85,0.158108108,2
15034,19/04/2010,1,0.81,0.81,1
15034,03/05/2010,168,23.52,0.14,2
15034,10/05/2010,25,4.17,0.1668,2
15034,17/05/2010,111,17.55,0.158108108,4
15034,24/05/2010,110,15.4,0.14,3
15034,31/05/2010,336,30.24,0.09,4
15034,07/06/2010,64,8.96,0.14,5
15034,14/06/2010,49,7.53,0.153673469,3
15034,21/06/2010,252,35.28,0.14,5
15034,28/06/2010,528,73.92,0.14,5
15034,05/07/2010,33,10.65,0.322727273,3
15034,12/07/2010,78,23.62,0.302820513,6
15034,19/07/2010,59,16.07,0.272372881,3
15034,26/07/2010,62,8.68,0.14,5
15034,02/08/2010,62,10.1,0.162903226,4
15034,09/08/2010,63,10.95,0.173809524,4
15034,16/08/2010,2,1.7,0.85,1
15034,23/08/2010,73,10.22,0.14,3
15034,30/08/2010,38,5.32,0.14,2
15034,06/09/2010,48,6.72,0.14,1
15034,13/09/2010,25,3.5,0.14,2
15034,20/09/2010,109,15.97,0.146513761,2
15034,27/09/2010,36,5.04,0.14,1
15034,04/10/2010,72,10.08,0.14,1
15034,11/10/2010,13,2.53,0.194615385,2
15034,18/10/2010,2,1.7,0.85,1
15034,25/10/2010,1,0.85,0.85,1
15034,01/11/2010,121,17.65,0.145867769,3
15034,15/11/2010,181,26.05,0.143922652,5
15034,22/11/2010,145,21.01,0.144896552,3
15034,29/11/2010,2,0.28,0.14,2
15034,06/12/2010,27,5.91,0.218888889,4
15036,30/11/2009,337,189.95,0.563649852,8
15036,07/12/2009,103,79.3,0.769902913,8
15036,14/12/2009,63,58.5,0.928571429,9
15036,21/12/2009,103,71.5,0.694174757,5
15036,04/01/2010,192,124.8,0.65,4
15036,11/01/2010,30,30.86,1.028666667,9
15036,18/01/2010,118,83,0.703389831,10
15036,25/01/2010,59,45.28,0.767457627,7
15036,01/02/2010,36,20.52,0.57,2
15036,08/02/2010,98,64.96,0.662857143,4
15036,15/02/2010,214,145.4,0.679439252,6
15036,22/02/2010,103,67.47,0.655048544,7
15036,01/03/2010,194,178.36,0.919381443,7
15036,08/03/2010,104,88.6,0.851923077,6
15036,15/03/2010,747,425.04,0.568995984,9
15036,22/03/2010,117,87.61,0.748803419,7
15036,29/03/2010,785,509.08,0.648509554,9
15036,05/04/2010,232,161.72,0.697068966,9
15036,12/04/2010,96,72,0.75,4
15036,19/04/2010,195,154.2,0.790769231,15
15036,26/04/2010,832,572.48,0.688076923,11
15036,03/05/2010,468,348.96,0.745641026,13
15036,10/05/2010,1179,732,0.62086514,13
15036,17/05/2010,74,56.56,0.764324324,6
15036,24/05/2010,894,620.04,0.693557047,14
15036,31/05/2010,404,290.13,0.718143564,13
15036,07/06/2010,1094,761.56,0.696124314,20
15036,14/06/2010,232,176.12,0.759137931,16
15036,21/06/2010,1571,1011.52,0.643870146,25
15036,28/06/2010,1333,960.95,0.720892723,22
15036,05/07/2010,943,663.68,0.703796394,16
15036,12/07/2010,577,480.92,0.833483536,25
15036,19/07/2010,1784,1247.68,0.699372197,21
15036,26/07/2010,112,105.2,0.939285714,3
15036,02/08/2010,168,195.96,1.166428571,6
15036,09/08/2010,77,92.2,1.197402597,5
15036,23/08/2010,18,16.68,0.926666667,3
15036,30/08/2010,26,20.56,0.790769231,3
15036,06/09/2010,2,2.56,1.28,1
15036,13/09/2010,3,3.84,1.28,2
15036,20/09/2010,21,16.28,0.775238095,4
15036,27/09/2010,23,25.2,1.095652174,2
15036,11/10/2010,831,564.84,0.679711191,8
15036,18/10/2010,172,131.12,0.762325581,10
15036,25/10/2010,2010,1394.28,0.693671642,9
15036,01/11/2010,205,167,0.814634146,7
15036,08/11/2010,130,115.52,0.888615385,12
15036,15/11/2010,355,261.14,0.735605634,16
15036,22/11/2010,927,652.74,0.704142395,17
15036,29/11/2010,130,109.16,0.839692308,11
15036,06/12/2010,18,16.68,0.926666667,5
15039,30/11/2009,10,8.5,0.85,1
15039,07/12/2009,1,1.7,1.7,1
15039,14/12/2009,29,24.65,0.85,5
15039,11/01/2010,8,10.85,1.35625,2
15039,18/01/2010,2,2.51,1.255,2
15039,25/01/2010,7,9.19,1.312857143,3
15039,08/02/2010,20,17,0.85,1
15039,15/02/2010,280,158,0.564285714,3
15039,22/02/2010,252,134.2,0.532539683,3
15039,01/03/2010,27,26.19,0.97,4
15039,08/03/2010,12,11.82,0.985,3
15039,15/03/2010,50,42.5,0.85,1
15039,22/03/2010,35,29.75,0.85,5
15039,29/03/2010,21,34.86,1.66,1
15039,05/04/2010,22,29.23,1.328636364,3
15039,12/04/2010,10,8.5,0.85,1
15039,26/04/2010,6,5.1,0.85,1
15039,03/05/2010,63,56.79,0.901428571,6
15039,10/05/2010,21,34.05,1.621428571,3
15039,17/05/2010,22,19.51,0.886818182,5
15039,24/05/2010,4,3.4,0.85,1
15039,31/05/2010,177,132.22,0.74700565,5
15039,07/06/2010,58,67.93,1.171206897,8
15039,14/06/2010,6,6.72,1.12,3
15039,21/06/2010,39,38.01,0.974615385,6
15039,28/06/2010,135,172.26,1.276,7
15039,05/07/2010,325,216.5,0.666153846,6
15039,12/07/2010,114,83.37,0.731315789,9
15039,19/07/2010,88,75.61,0.859204545,6
15039,26/07/2010,95,87.23,0.918210526,7
15039,02/08/2010,144,92.02,0.639027778,8
15039,09/08/2010,86,142.76,1.66,3
15039,16/08/2010,69,59.46,0.86173913,4
15039,23/08/2010,50,42.5,0.85,3
15039,30/08/2010,32,27.2,0.85,2
15039,06/09/2010,12,10.2,0.85,1
15039,13/09/2010,25,21.25,0.85,2
15039,20/09/2010,290,168.12,0.579724138,4
15039,27/09/2010,1,1.66,1.66,1
15039,18/10/2010,278,177.36,0.637985612,3
15039,01/11/2010,34,28.9,0.85,3
15039,08/11/2010,7,6.76,0.965714286,3
15039,15/11/2010,25,22.87,0.9148,5
15039,22/11/2010,20,18.62,0.931,7
15039,29/11/2010,15,12.75,0.85,2
15039,06/12/2010,1,1.66,1.66,1
16008,15/03/2010,12,3,0.25,1
16008,22/03/2010,24,6,0.25,1
16008,28/06/2010,24,6,0.25,1
16008,16/08/2010,26,6.5,0.25,1
16008,06/09/2010,24,6,0.25,1
16008,04/10/2010,12,3,0.25,1
16008,11/10/2010,36,9,0.25,1
16008,01/11/2010,12,3,0.25,1
16008,08/11/2010,2,0.5,0.25,1
16008,15/11/2010,40,10,0.25,3
16008,22/11/2010,1,0.25,0.25,1
16008,29/11/2010,36,9,0.25,2
16008,06/12/2010,2,0.5,0.25,1
16010,11/01/2010,2,0.24,0.12,1
16010,29/11/2010,12,1.44,0.12,1
16011,30/11/2009,24,5.04,0.21,1
16011,07/12/2009,96,20.16,0.21,2
16011,14/12/2009,48,10.08,0.21,2
16011,21/12/2009,48,10.08,0.21,1
16011,11/01/2010,24,5.04,0.21,1
16011,18/01/2010,73,15.33,0.21,2
16011,25/01/2010,24,5.04,0.21,1
16011,01/03/2010,48,10.08,0.21,2
16011,08/03/2010,31,6.51,0.21,1
16011,15/03/2010,72,15.12,0.21,2
16011,22/03/2010,48,10.08,0.21,2
16011,29/03/2010,24,3.84,0.16,1
16011,05/04/2010,24,5.04,0.21,1
16011,26/04/2010,2,0.42,0.21,1
16011,10/05/2010,2,0.42,0.21,1
16011,17/05/2010,172,36.12,0.21,5
16011,24/05/2010,24,5.04,0.21,1
16011,31/05/2010,24,5.04,0.21,1
16011,07/06/2010,96,20.16,0.21,1
16011,14/06/2010,24,5.04,0.21,1
16011,21/06/2010,48,10.08,0.21,2
16011,05/07/2010,24,5.04,0.21,1
16011,12/07/2010,24,5.04,0.21,1
16011,19/07/2010,24,5.04,0.21,1
16011,26/07/2010,24,5.04,0.21,1
16011,02/08/2010,24,5.04,0.21,1
16011,09/08/2010,24,5.04,0.21,1
16011,23/08/2010,24,5.04,0.21,1
16011,20/09/2010,156,32.76,0.21,2
16011,27/09/2010,144,30.24,0.21,1
16011,04/10/2010,89,18.69,0.21,4
16011,11/10/2010,97,20.37,0.21,4
16011,18/10/2010,98,20.58,0.21,3
16011,01/11/2010,72,15.12,0.21,2
16011,08/11/2010,32,6.72,0.21,2
16011,15/11/2010,178,37.38,0.21,4
16011,22/11/2010,77,16.17,0.21,5
16011,29/11/2010,5,1.05,0.21,1
16011,06/12/2010,41,8.61,0.21,1
16012,30/11/2009,109,22.89,0.21,3
16012,07/12/2009,2,0.42,0.21,1
16012,25/01/2010,72,15.12,0.21,3
16012,01/02/2010,10,2.1,0.21,1
16012,08/02/2010,288,60.48,0.21,3
16012,15/02/2010,14,2.94,0.21,1
16012,22/02/2010,96,20.16,0.21,1
16012,01/03/2010,24,5.04,0.21,1
16012,15/03/2010,24,5.04,0.21,1
16012,29/03/2010,24,3.84,0.16,1
16012,24/05/2010,24,5.04,0.21,1
16012,21/06/2010,24,5.04,0.21,1
16012,19/07/2010,24,5.04,0.21,1
16012,26/07/2010,24,5.04,0.21,1
16012,23/08/2010,24,5.04,0.21,1
16012,06/09/2010,192,40.32,0.21,4
16012,13/09/2010,48,10.08,0.21,1
16012,20/09/2010,48,10.08,0.21,2
16012,27/09/2010,48,10.08,0.21,2
16012,04/10/2010,48,10.08,0.21,2
16012,11/10/2010,24,5.04,0.21,1
16012,18/10/2010,96,20.16,0.21,2
16012,25/10/2010,24,5.04,0.21,1
16012,01/11/2010,24,5.04,0.21,1
16012,08/11/2010,120,25.2,0.21,3
16012,15/11/2010,58,12.18,0.21,2
16012,22/11/2010,168,35.28,0.21,5
16012,29/11/2010,48,10.08,0.21,2
16014,30/11/2009,20,6.4,0.32,1
16014,07/12/2009,1510,484.2,0.320662252,2
16014,14/12/2009,3010,964.2,0.320332226,2
16014,11/01/2010,10,4.2,0.42,1
16014,18/01/2010,10,4.2,0.42,1
16014,01/02/2010,20,8.4,0.42,1
16014,08/02/2010,10,4.2,0.42,1
16014,15/02/2010,1,0.42,0.42,1
16014,22/02/2010,3,1.26,0.42,1
16014,15/03/2010,1010,324.2,0.320990099,2
16014,29/03/2010,60,25.2,0.42,1
16014,12/04/2010,10,4.2,0.42,1
16014,19/04/2010,50,21,0.42,2
16014,07/06/2010,1000,320,0.32,1
16014,14/06/2010,2005,642.1,0.320249377,2
16014,21/06/2010,1000,320,0.32,1
16014,05/07/2010,1,0.42,0.42,1
16014,19/07/2010,500,160,0.32,1
16014,26/07/2010,61,25.62,0.42,2
16014,02/08/2010,10,4.2,0.42,1
16014,09/08/2010,20,8.4,0.42,1
16014,23/08/2010,1010,324.2,0.320990099,2
16014,06/09/2010,20,8.4,0.42,1
16014,13/09/2010,500,160,0.32,1
16014,11/10/2010,20,6.4,0.32,1
16014,18/10/2010,40,16.8,0.42,1
16014,25/10/2010,4100,1322,0.322439024,3
16014,01/11/2010,10,4.2,0.42,1
16014,08/11/2010,6,2.52,0.42,2
16014,29/11/2010,14,5.88,0.42,2
16014,06/12/2010,1001,320.42,0.3200999,2
16015,30/11/2009,60,27.2,0.453333333,2
16015,07/12/2009,10,5,0.5,1
16015,14/12/2009,3,1.5,0.5,1
16015,11/01/2010,20,10,0.5,2
16015,18/01/2010,30,15,0.5,2
16015,01/02/2010,20,10,0.5,1
16015,08/02/2010,10,5,0.5,1
16015,15/02/2010,1,0.5,0.5,1
16015,22/02/2010,3,1.5,0.5,1
16015,15/03/2010,10,5,0.5,1
16015,29/03/2010,62,31,0.5,2
16015,12/04/2010,30,15,0.5,1
16015,19/04/2010,20,10,0.5,1
16015,31/05/2010,10,5,0.5,1
16015,07/06/2010,100,36,0.36,1
16015,14/06/2010,10,5,0.5,1
16015,28/06/2010,20,10,0.5,1
16015,05/07/2010,11,5.5,0.5,2
16015,19/07/2010,120,60,0.5,2
16015,26/07/2010,80,40,0.5,2
16015,02/08/2010,10,5,0.5,1
16015,23/08/2010,10,5,0.5,1
16015,30/08/2010,100,36,0.36,1
16015,06/09/2010,10,5,0.5,1
16015,27/09/2010,50,25,0.5,1
16015,04/10/2010,20,10,0.5,1
16015,11/10/2010,24,9.2,0.383333333,2
16015,18/10/2010,20,10,0.5,1
16015,25/10/2010,1,0.5,0.5,1
16015,01/11/2010,10,5,0.5,1
16015,08/11/2010,5,2.5,0.5,1
16015,22/11/2010,10,5,0.5,1
16015,29/11/2010,10,5,0.5,1
16015,06/12/2010,1,0.5,0.5,1
16016,30/11/2009,20,14.4,0.72,1
16016,07/12/2009,20,17,0.85,2
16016,11/01/2010,10,8.5,0.85,1
16016,18/01/2010,10,8.5,0.85,1
16016,01/02/2010,20,17,0.85,1
16016,08/02/2010,10,8.5,0.85,1
16016,22/02/2010,2,1.7,0.85,1
16016,01/03/2010,200,144,0.72,1
16016,08/03/2010,10,8.5,0.85,1
16016,15/03/2010,10,8.5,0.85,1
16016,29/03/2010,61,51.85,0.85,2
16016,19/04/2010,35,29.75,0.85,2
16016,10/05/2010,10,8.5,0.85,1
16016,17/05/2010,10,8.5,0.85,1
16016,24/05/2010,10,8.5,0.85,1
16016,31/05/2010,10,8.5,0.85,1
16016,07/06/2010,50,37.3,0.746,2
16016,28/06/2010,30,25.5,0.85,3
16016,05/07/2010,1,0.85,0.85,1
16016,19/07/2010,320,246,0.76875,2
16016,26/07/2010,57,48.45,0.85,3
16016,02/08/2010,10,8.5,0.85,1
16016,16/08/2010,1,0.85,0.85,1
16016,23/08/2010,10,8.5,0.85,1
16016,30/08/2010,40,28.8,0.72,1
16016,06/09/2010,10,8.5,0.85,1
16016,27/09/2010,3,2.55,0.85,1
16016,11/10/2010,20,14.4,0.72,1
16016,18/10/2010,20,17,0.85,1
16016,25/10/2010,1,0.85,0.85,1
16016,01/11/2010,10,8.5,0.85,1
16016,22/11/2010,10,8.5,0.85,1
